rating_id,student_id,section_id,rating
260,5,6,3
261,104,16,3
262,149,24,4
263,136,23,4
264,191,36,3
265,180,30,3
266,65,15,2
267,50,21,2
268,138,12,3
269,190,31,3
270,151,34,4
271,26,13,3
272,93,12,3
273,182,35,2
274,12,4,4
275,179,9,4
276,193,32,2
277,4,37,3
278,123,29,3
279,248,4,3
280,221,31,2
281,17,26,4
282,148,4,3
283,208,37,5
284,22,16,2
285,196,27,4
286,203,40,3
287,134,25,4
288,114,20,5
289,110,20,4
290,16,40,5
291,26,14,4
292,68,6,3
293,45,36,2
294,1,27,4
295,153,31,3
296,60,19,5
297,19,15,5
298,202,38,4
299,240,13,4
300,140,15,4
301,233,18,5
302,19,4,3
303,79,39,5
304,146,19,4
305,120,20,4
306,242,18,4
307,127,29,2
308,11,28,5
309,59,37,4
310,6,18,4
311,121,34,4
312,235,18,3
313,150,28,4
314,126,6,4
315,105,22,3
316,27,11,3
317,178,32,3
318,242,26,5
319,141,3,4
320,83,8,5
321,104,33,5
322,1,35,4
323,14,13,4
324,160,32,4
325,195,4,3
326,141,9,5
327,113,32,2
328,250,39,5
329,182,11,3
330,4,36,4
331,58,8,4
332,31,10,4
333,184,19,4
334,70,27,5
335,121,16,4
336,38,25,3
337,154,33,5
338,35,5,3
339,203,27,3
340,202,33,3
341,1,19,5
342,215,38,4
343,169,32,5
344,115,35,4
345,86,36,5
346,97,30,5
347,223,13,5
348,99,15,5
349,106,3,3
350,122,25,4
351,170,10,4
352,10,9,4
353,152,22,5
354,224,29,2
355,234,30,1
356,37,27,5
357,249,10,2
358,201,17,3
359,178,26,4
360,219,22,5
361,220,35,4
362,82,32,5
363,10,40,2
364,162,19,5
365,192,6,4
366,26,7,4
367,178,20,5
368,12,21,5
369,76,23,4
370,38,16,4
371,145,12,3
372,21,40,5
373,159,16,4
374,150,10,3
375,164,17,4
376,171,1,5
377,120,19,4
378,41,5,4
379,89,38,3
380,247,28,4
381,117,20,3
382,99,31,2
383,98,37,4
384,76,19,1
385,213,26,3
386,145,4,5
387,191,32,5
388,232,19,5
389,59,39,5
390,57,13,4
391,174,9,4
392,80,29,1
393,94,9,2
394,76,21,5
395,45,13,2
396,139,24,4
397,234,18,5
398,66,31,5
399,76,22,5
400,120,5,2
401,248,15,5
402,186,26,5
403,206,36,4
404,203,26,1
405,138,8,4
406,173,17,4
407,211,24,2
408,60,31,1
409,227,36,3
410,157,15,4
411,163,30,5
412,78,27,2
413,12,3,3
414,127,8,2
415,228,35,2
416,117,24,4
417,191,35,4
418,191,10,5
419,168,7,5
420,158,27,5
421,72,3,4
422,56,29,4
423,61,24,2
424,176,24,4
425,166,23,2
426,71,13,5
427,243,30,2
428,55,39,5
429,13,22,3
430,33,37,3
431,213,36,3
432,85,10,5
433,153,1,3
434,38,9,4
435,205,12,2
436,222,2,2
437,92,16,4
438,5,12,3
439,33,27,4
440,191,5,4
441,200,24,4
442,28,29,4
443,243,40,1
444,201,34,3
445,165,2,2
446,123,26,4
447,28,32,5
448,114,5,5
449,83,39,2
450,33,18,4
451,183,21,4
452,153,34,3
453,111,7,5
454,30,36,5
455,56,28,4
456,59,27,3
457,117,26,4
458,25,21,4
459,171,17,4
460,40,31,2
461,213,6,2
462,25,24,5
463,143,4,4
464,144,36,3
465,32,27,4
466,171,28,5
467,185,4,5
468,154,20,4
469,148,33,3
470,169,31,3
471,28,23,5
472,95,8,5
473,147,15,5
474,217,36,5
475,210,40,4
476,165,36,1
477,238,18,1
478,70,20,5
479,90,1,3
480,37,37,4
481,18,10,5
482,249,2,2
483,136,14,4
484,117,22,3
485,80,21,5
486,146,39,2
487,14,10,3
488,159,4,4
489,70,29,4
490,125,39,4
491,70,14,5
492,30,23,4
493,73,38,4
494,171,20,1
495,102,39,2
496,53,20,5
497,197,9,5
498,75,21,2
499,128,28,3
500,98,35,5
501,129,36,5
502,207,23,2
503,221,3,4
504,118,5,5
505,148,28,4
506,182,27,3
507,104,2,5
508,44,40,4
509,177,24,2
510,217,7,3
511,151,26,4
512,102,20,5
513,57,22,5
514,20,33,4
515,136,33,3
516,199,23,4
517,246,10,3
518,38,17,3
519,155,10,5
520,168,5,3
521,198,32,4
522,145,38,4
523,237,37,4
524,160,21,5
525,161,21,3
526,18,31,4
527,78,18,4
528,91,33,2
529,119,29,1
530,20,6,4
531,130,25,4
532,142,3,4
533,167,13,3
534,122,33,3
535,16,29,2
536,231,22,5
537,22,33,4
538,11,16,5
539,113,34,4
540,41,24,4
541,73,25,4
542,87,39,2
543,162,22,2
544,25,36,4
545,73,17,5
546,169,39,5
547,86,6,4
548,37,23,3
549,168,26,2
550,182,6,3
551,97,22,5
552,172,34,2
553,172,28,4
554,5,24,3
555,244,14,3
556,197,32,3
557,36,10,2
558,130,35,5
559,227,34,1
560,87,40,2
561,97,10,3
562,213,40,5
563,43,29,1
564,94,16,5
565,157,19,5
566,201,29,3
567,62,20,5
568,201,31,5
569,50,24,4
570,147,29,4
571,108,11,5
572,206,39,2
573,165,31,5
574,142,7,5
575,133,8,3
576,196,11,3
577,232,33,2
578,112,6,5
579,57,29,5
580,239,2,4
581,102,33,4
582,99,6,4
583,8,21,5
584,215,22,5
585,36,3,3
586,213,31,4
587,36,31,4
588,2,6,1
589,56,10,4
590,187,39,4
591,29,19,3
592,32,4,3
593,164,40,4
594,29,32,4
595,5,33,4
596,184,10,3
597,1,40,4
598,147,27,3
599,172,6,4
600,93,5,5
601,140,33,5
602,130,36,1
603,224,31,1
604,100,24,3
605,5,23,5
606,89,16,5
607,161,7,5
608,189,22,2
609,91,35,3
610,165,12,5
611,176,30,5
612,123,12,5
613,17,30,1
614,52,3,5
615,227,3,3
616,80,33,4
617,209,35,4
618,10,13,3
619,221,4,5
620,85,18,2
621,95,28,5
622,191,29,5
623,99,22,5
624,128,32,4
625,205,34,3
626,22,28,2
627,155,12,4
628,83,7,2
629,170,19,3
630,155,28,3
631,114,23,4
632,187,23,4
633,112,18,4
634,203,4,2
635,164,26,4
636,206,11,5
637,37,39,4
638,113,3,2
639,93,25,5
640,9,39,3
641,116,24,4
642,196,5,4
643,136,24,4
644,167,18,3
645,30,2,5
646,128,34,4
647,144,8,3
648,67,29,3
649,52,8,2
650,19,29,3
651,183,29,5
652,208,21,4
653,182,5,4
654,75,20,5
655,183,12,5
656,131,15,2
657,52,9,3
658,127,2,4
659,147,24,4
660,142,9,4
661,23,5,3
662,184,31,4
663,197,27,5
664,19,9,5
665,165,5,4
666,175,34,3
667,225,36,4
668,47,9,4
669,234,4,5
670,133,10,3
671,42,21,5
672,58,23,5
673,133,19,5
674,65,13,4
675,142,18,2
676,78,40,4
677,129,11,4
678,149,10,3
679,160,39,3
680,11,2,2
681,243,37,3
682,54,37,4
683,164,2,4
684,161,35,3
685,245,20,4
686,207,26,3
687,41,29,4
688,119,14,3
689,37,21,5
690,82,23,5
691,34,24,4
692,28,21,3
693,32,18,4
694,37,7,2
695,243,25,5
696,108,16,5
697,231,11,5
698,240,37,5
699,49,11,4
700,132,30,4
701,79,32,1
702,130,30,5
703,56,38,4
704,13,19,4
705,226,31,3
706,3,7,4
707,226,17,5
708,196,26,4
709,146,36,3
710,142,19,2
711,130,29,5
712,72,40,4
713,31,9,5
714,101,24,5
715,87,36,5
716,194,10,3
717,131,26,4
718,36,22,5
719,133,30,2
720,229,33,2
721,239,40,3
722,101,40,5
723,77,38,3
724,213,33,4
725,182,37,3
726,209,2,4
727,173,8,5
728,150,20,5
729,186,2,4
730,68,38,4
731,150,31,3
732,162,40,5
733,98,10,5
734,63,3,4
735,180,8,3
736,113,21,4
737,106,14,4
738,199,40,5
739,224,4,5
740,133,14,4
741,170,31,4
742,81,12,4
743,137,22,4
744,174,17,4
745,50,16,3
746,77,15,5
747,77,19,5
748,177,32,3
749,90,36,5
750,204,18,3
751,147,35,4
752,102,23,5
753,206,10,3
754,74,6,3
755,114,17,5
756,55,13,5
757,70,36,4
758,36,7,4
759,151,16,3
760,58,15,2
761,106,22,5
762,26,9,1
763,141,11,4
764,240,31,4
765,52,19,3
766,166,4,5
767,23,37,3
768,190,3,5
769,45,27,5
770,46,3,5
771,102,32,3
772,192,19,5
773,3,20,4
774,28,22,3
775,165,35,4
776,228,9,5
777,120,18,3
778,29,22,3
779,118,17,5
780,4,22,5
781,146,13,3
782,220,26,5
783,132,21,2
784,172,7,3
785,83,16,1
786,99,16,4
787,69,22,3
788,186,37,1
789,168,24,4
790,16,8,4
791,41,26,4
792,237,20,4
793,164,19,4
794,57,15,5
795,123,10,4
796,156,24,4
797,141,31,5
798,206,14,5
799,175,39,5
800,21,34,4
